Code,Name,Address,City,State,Zip,Elementary (K-5) Student Count,Middle (6-8) Student Count,High School (9-12) Student Count,ISD Code,ISD Name,District Code,District Name,Entity Type,Entity County,Chartering Agency Code,Chartering Agency Authorizer,Charter Management Organization,Entity Authorized Grades,Entity Actual Grades,elementary,middle,high,location
9125,"Wright, Charles School",19299 Berg Rd,Detroit,MI,48219,404,0,0,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"KG,1,2,3,4","KG,1,2,3,4",1,0,0,"location
(42.43233, -83.26872)"
9153,Cesar Chavez High School,1761 Waterman St,Detroit,MI,48209,0,0,729,82,Wayne RESA,82918,Cesar Chavez Academy,PSA School,Wayne,4884,Saginaw Valley State University,Leona Group,"9,10,11,12","9,10,11,12",0,0,1,"location
(42.31217, -83.11409)"
9154,Voyageur College Prep,4366 Military St,Detroit,MI,48210,0,0,444,82,Wayne RESA,82940,Voyageur Academy,PSA School,Wayne,1224,Ferris State University,American Promise Schools,"9,10,11,12","9,10,11,12",0,0,1,"location
(42.3329000000001, -83.11958)"
9314,Oakland International Academy - Elementary,4001 Miller St,Detroit,MI,48211,168,0,0,82,Wayne RESA,63912,Oakland International Academy,PSA School,Wayne,4884,Saginaw Valley State University,Education Management & Networks (EMAN),"2,3,4","2,3,4",1,0,0,"location
(42.3906000000001, -83.04106)"
9318,Joy Preparatory Academy,15055 Dexter Ave,Detroit,MI,48238,261,88,0,82,Wayne RESA,82958,Joy Preparatory Academy,PSA School,Wayne,1224,Ferris State University,Leona Group,"KG,1,2,3,4,5,6,7,8","KG,1,2,3,4,5,6,7,8",1,1,0,"location
(42.4014300000001, -83.13611)"
9341,Brenda Scott Academy for Theatre Arts,18440 Hoover St,Detroit,MI,48205,492,245,0,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"DevK,KG,1,2,3,4,5,6,7,8","DevK,KG,1,2,3,4,5,6,7,8",1,1,0,"location
(42.42956, -83.00335)"
9345,Fisher Magnet Upper Academy,15491 Maddelein St,Detroit,MI,48205,89,334,0,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"5,6,7,8","5,6,7,8",1,1,0,"location
(42.43717, -82.9618399999999)"
9462,Detroit Enterprise Academy,11224 Kercheval St,Detroit,MI,48214,445,178,0,82,Wayne RESA,82979,Detroit Enterprise Academy,PSA School,Wayne,5133,Grand Valley State University,National Heritage Academies,"KG,1,2,3,4,5,6,7,8","KG,1,2,3,4,5,6,7,8",1,1,0,"location
(42.3685400000001, -82.97284)"
9475,Diann Banks-Williamson Educational Center,5020 Cadieux Rd,Detroit,MI,48224,0,0,63,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"9,10,11,12","9,10,11,12",0,0,1,"location
(42.40786, -82.92894)"
9481,Old Redford Academy - High,8001 West Outer Dr,Detroit,MI,48235,0,0,846,82,Wayne RESA,82956,Old Redford Academy,PSA School,Wayne,5017,Central Michigan University,Innovative Teaching Solutions,"9,10,11,12","9,10,11,12",0,0,1,"location
(42.418394371, -83.217526418)"
9592,Jerry L White Center High School,14804 West Mcnichols Rd,Detroit,MI,48235,0,0,212,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"9,10,11,12","9,10,11,12",0,0,1,"location
(42.4175654220001, -83.1947925859999)"
9594,Keidan Special Education School,4441 Collingwood St,Detroit,MI,48204,77,55,0,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"KG,1,2,3,4,5,6,7,8","KG,1,2,3,4,5,6,7,8",1,1,0,"location
(42.3740700000001, -83.12837)"
9600,Detroit Premier Academy,7781 Asbury Park,Detroit,MI,48228,513,227,0,82,Wayne RESA,82985,Detroit Premier Academy,PSA School,Wayne,5133,Grand Valley State University,National Heritage Academies,"KG,1,2,3,4,5,6,7,8","KG,1,2,3,4,5,6,7,8",1,1,0,"location
(42.34961, -83.20645)"
